글쓰기,읽고이해하기,듣고이해하기,말하기,수리력,논리적분석,창의력,범주화,기억력,공간지각력,추리력,학습전략,선택적집중력,모니터링,사람파악,행동조정,설득,협상,가르치기,서비스지향,문제해결,판단과의사결정,시간관리,재정관리,물적자원관리,인적자원관리,기술분석,기술설계,장비선정,설치,전산,품질관리분석,조작및통제,장비의유지,고장의발견.수리,작동점검,조직체계의분석및평가,정교한동작,움직임통제,반응시간과속도,신체적강인성,유연성및균형,시력,청력,knowcode
4.0,4.0,4.0,5.0,4.0,,,5.0,4.0,6.0,5.0,,4.0,,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,7.0,,4.0,,4.0,4.0,10.0,10.0,4.0,9.0,10.0,10.0,10.0,11.0,,8.0,9.0,8.0,9.0,9.0,4.0,6.0,852101
5.0,6.0,8.0,7.0,7.0,5.0,6.0,7.0,9.0,7.0,8.0,7.0,8.0,6.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,6.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,862201
9.0,4.0,7.0,7.0,,7.0,,8.0,5.0,9.0,7.0,7.0,10.0,11.0,7.0,8.0,5.0,7.0,9.0,7.0,9.0,7.0,9.0,,,7.0,,,,,,,4.0,7.0,7.0,4.0,7.0,,7.0,7.0,9.0,10.0,7.0,9.0,250201
6.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,8.0,6.0,4.0,6.0,6.0,4.0,7.0,6.0,6.0,4.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,4.0,6.0,6.0,4.0,6.0,7.0,4.0,8.0,6.0,4.0,6.0,6.0,4.0,6.0,817101
5.0,5.0,10.0,9.0,,7.0,,9.0,9.0,11.0,10.0,9.0,11.0,5.0,12.0,11.0,7.0,10.0,9.0,12.0,12.0,9.0,10.0,5.0,7.0,12.0,7.0,,7.0,,7.0,10.0,10.0,9.0,,,7.0,11.0,11.0,10.0,10.0,12.0,9.0,10.0,541101
,9.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,7.0,9.0,9.0,10.0,6.0,7.0,7.0,6.0,9.0,9.0,7.0,7.0,4.0,,,7.0,,,,5.0,4.0,7.0,6.0,,,7.0,9.0,9.0,7.0,4.0,4.0,7.0,10.0,612501
8.0,9.0,9.0,9.0,5.0,4.0,4.0,4.0,8.0,9.0,5.0,5.0,9.0,4.0,4.0,9.0,4.0,9.0,,7.0,,9.0,9.0,,,,,,,,,,,,,,,,,,,,7.0,5.0,512301
8.0,6.0,6.0,6.0,5.0,10.0,5.0,9.0,7.0,8.0,6.0,7.0,7.0,7.0,5.0,6.0,7.0,5.0,5.0,5.0,5.0,7.0,5.0,4.0,4.0,4.0,4.0,4.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,10.0,5.0,4.0,4.0,4.0,9.0,4.0,413102
5.0,9.0,,,9.0,6.0,,6.0,,7.0,7.0,,,,,,,,5.0,,10.0,,4.0,,,,,,,,9.0,,5.0,,,,,5.0,6.0,,,,9.0,,121106
,8.0,8.0,6.0,12.0,8.0,,5.0,8.0,6.0,6.0,6.0,,4.0,,7.0,,,8.0,,5.0,8.0,,,6.0,,9.0,4.0,,8.0,10.0,,6.0,,4.0,8.0,,5.0,,6.0,,,6.0,4.0,121103
3.0,4.0,5.0,7.0,7.0,4.0,,4.0,5.0,,,5.0,5.0,7.0,7.0,6.0,3.0,,4.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,4.0,,,,6.0,7.0,6.0,,,,5.0,6.0,7.0,5.0,5.0,4.0,4.0,4.0,616101
,,,7.0,,,7.0,,7.0,,,,,,,7.0,,,,7.0,,7.0,7.0,7.0,,,,,,,7.0,7.0,,,,,,,7.0,7.0,7.0,7.0,10.0,9.0,872201
7.0,9.0,9.0,12.0,5.0,7.0,5.0,5.0,9.0,9.0,7.0,9.0,7.0,9.0,7.0,9.0,7.0,5.0,9.0,7.0,7.0,5.0,5.0,,,,,,,,5.0,,,,,,,,,,7.0,7.0,9.0,7.0,521303
8.0,10.0,9.0,7.0,9.0,7.0,9.0,5.0,8.0,7.0,4.0,8.0,9.0,9.0,6.0,7.0,8.0,6.0,9.0,6.0,8.0,8.0,10.0,5.0,5.0,5.0,9.0,8.0,9.0,12.0,7.0,6.0,9.0,9.0,9.0,10.0,5.0,10.0,7.0,9.0,8.0,7.0,10.0,10.0,833001
10.0,11.0,12.0,12.0,9.0,10.0,10.0,10.0,10.0,7.0,9.0,8.0,5.0,6.0,7.0,7.0,7.0,9.0,9.0,10.0,7.0,10.0,7.0,9.0,4.0,7.0,7.0,,,,7.0,,,,,,,,,,,,,,23101
4.0,5.0,5.0,,,7.0,,6.0,6.0,,6.0,6.0,,7.0,5.0,,7.0,,,7.0,9.0,6.0,7.0,,8.0,,6.0,8.0,9.0,9.0,,,9.0,7.0,8.0,9.0,,6.0,,,,,5.0,,158401
7.0,7.0,9.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,823301
4.0,5.0,5.0,9.0,4.0,,,,5.0,5.0,,,4.0,4.0,4.0,,,,5.0,7.0,11.0,9.0,9.0,,3.0,,,,4.0,,4.0,,,4.0,4.0,4.0,,7.0,,9.0,8.0,8.0,7.0,5.0,307101
3.0,6.0,7.0,7.0,4.0,,4.0,7.0,4.0,,3.0,6.0,6.0,9.0,7.0,9.0,6.0,4.0,7.0,9.0,7.0,6.0,4.0,7.0,7.0,7.0,9.0,7.0,5.0,7.0,,5.0,7.0,7.0,6.0,7.0,4.0,5.0,7.0,,5.0,7.0,7.0,4.0,812902
,7.0,6.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,7.0,6.0,6.0,,,,,8.0,6.0,6.0,5.0,814001
6.0,7.0,9.0,8.0,5.0,5.0,,7.0,9.0,,5.0,4.0,4.0,4.0,7.0,5.0,6.0,,4.0,9.0,,4.0,9.0,,,,,,,,5.0,,,,,,,,,,,,6.0,7.0,29202
,4.0,4.0,4.0,,4.0,5.0,7.0,12.0,9.0,,,9.0,,,,4.0,,,5.0,9.0,12.0,7.0,,,,6.0,5.0,5.0,7.0,,,,6.0,12.0,11.0,,9.0,12.0,11.0,10.0,7.0,10.0,9.0,621102
11.0,12.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,10.0,11.0,12.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,9.0,7.0,11.0,10.0,6.0,6.0,3.0,10.0,12.0,10.0,11.0,3.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,154105
,,10.0,11.0,4.0,7.0,9.0,3.0,9.0,5.0,,,11.0,,9.0,10.0,9.0,7.0,,12.0,,9.0,4.0,4.0,,9.0,,,,,,,,,,,,,,,7.0,7.0,9.0,9.0,522201
7.0,12.0,12.0,7.0,4.0,10.0,4.0,7.0,4.0,7.0,4.0,4.0,9.0,7.0,,4.0,7.0,4.0,,4.0,7.0,9.0,7.0,,,4.0,,,,,9.0,,,,,,4.0,,,,7.0,7.0,9.0,7.0,23401
9.0,8.0,8.0,6.0,9.0,8.0,,8.0,8.0,,8.0,6.0,,11.0,8.0,7.0,7.0,8.0,5.0,,10.0,6.0,9.0,,,7.0,,,,,9.0,,,,,,,,,,,,5.0,4.0,28202
7.0,8.0,9.0,8.0,9.0,8.0,10.0,8.0,8.0,8.0,6.0,6.0,8.0,6.0,6.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,10.0,8.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,5.0,8.0,8.0,420202
4.0,7.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,,4.0,5.0,5.0,,4.0,5.0,,5.0,6.0,6.0,5.0,4.0,,,,4.0,7.0,4.0,4.0,4.0,,6.0,5.0,5.0,5.0,4.0,4.0,7.0,5.0,7.0,10.0,6.0,6.0,7.0,28401
6.0,4.0,6.0,6.0,7.0,7.0,,5.0,6.0,,4.0,6.0,6.0,,4.0,6.0,,,,6.0,4.0,,6.0,,,,,,7.0,8.0,,,8.0,6.0,9.0,7.0,,8.0,7.0,8.0,7.0,6.0,7.0,6.0,822101
5.0,6.0,8.0,5.0,5.0,7.0,11.0,9.0,6.0,8.0,7.0,7.0,12.0,5.0,6.0,5.0,6.0,7.0,5.0,7.0,6.0,8.0,9.0,6.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,7.0,6.0,5.0,,,,11.0,11.0,7.0,6.0,8.0,8.0,5.0,862101
6.0,6.0,8.0,6.0,4.0,4.0,6.0,4.0,6.0,6.0,6.0,9.0,6.0,6.0,4.0,,,,8.0,,6.0,,,6.0,4.0,5.0,,6.0,,,6.0,,4.0,6.0,9.0,,4.0,6.0,6.0,4.0,,4.0,6.0,6.0,134303
8.0,7.0,7.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,5.0,,4.0,,6.0,,6.0,5.0,5.0,6.0,5.0,7.0,5.0,8.0,8.0,7.0,8.0,8.0,232101
7.0,6.0,6.0,,,6.0,,6.0,6.0,,,,5.0,4.0,,,,,,,,5.0,5.0,,,,,,8.0,6.0,11.0,,,,,,,,,,,,,,307401
5.0,7.0,9.0,7.0,9.0,5.0,4.0,9.0,9.0,8.0,7.0,9.0,9.0,7.0,4.0,7.0,4.0,4.0,,7.0,7.0,8.0,11.0,4.0,4.0,4.0,8.0,4.0,5.0,4.0,9.0,7.0,9.0,8.0,7.0,8.0,6.0,9.0,9.0,9.0,6.0,5.0,8.0,7.0,28201
4.0,9.0,7.0,9.0,5.0,8.0,8.0,4.0,10.0,,4.0,7.0,5.0,5.0,8.0,5.0,10.0,9.0,7.0,10.0,6.0,5.0,7.0,5.0,,,6.0,,,,5.0,4.0,,,,,5.0,,4.0,5.0,,,,,612401
10.0,9.0,11.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,5.0,11.0,11.0,8.0,10.0,11.0,9.0,10.0,11.0,11.0,9.0,9.0,9.0,10.0,11.0,10.0,10.0,11.0,6.0,7.0,8.0,8.0,8.0,10.0,7.0,16201
7.0,8.0,7.0,9.0,7.0,9.0,9.0,8.0,7.0,9.0,7.0,7.0,8.0,7.0,7.0,7.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,7.0,9.0,8.0,7.0,9.0,7.0,7.0,9.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,133302
7.0,9.0,8.0,6.0,10.0,11.0,8.0,10.0,5.0,,11.0,,,,,,,,,,,7.0,,,,,9.0,,,,9.0,,,,,,,,,,,,,,134102
9.0,10.0,9.0,10.0,9.0,8.0,4.0,7.0,7.0,6.0,5.0,5.0,10.0,9.0,9.0,9.0,9.0,7.0,5.0,10.0,9.0,10.0,9.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,4.0,5.0,7.0,7.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,306501
7.0,4.0,7.0,7.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,5.0,7.0,4.0,5.0,4.0,5.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,4.0,4.0,7.0,,9.0,6.0,5.0,5.0,6.0,6.0,4.0,7.0,6.0,6.0,5.0,6.0,4.0,4.0,9.0,7.0,416601
11.0,12.0,11.0,10.0,10.0,9.0,9.0,7.0,7.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,5.0,5.0,6.0,7.0,7.0,5.0,5.0,6.0,6.0,5.0,5.0,,,,5.0,5.0,4.0,,,,5.0,,,,,,6.0,6.0,110201
4.0,7.0,7.0,7.0,4.0,7.0,7.0,12.0,7.0,7.0,8.0,8.0,10.0,7.0,,7.0,4.0,4.0,,7.0,7.0,10.0,9.0,,,4.0,,,,,10.0,,,,,,4.0,,,4.0,4.0,4.0,7.0,8.0,23401
9.0,7.0,9.0,9.0,8.0,7.0,9.0,5.0,7.0,7.0,9.0,7.0,8.0,9.0,10.0,9.0,10.0,7.0,4.0,9.0,7.0,4.0,7.0,4.0,5.0,7.0,,,,4.0,9.0,4.0,4.0,,4.0,9.0,9.0,4.0,7.0,4.0,7.0,8.0,4.0,7.0,31302
12.0,11.0,11.0,11.0,11.0,11.0,9.0,10.0,10.0,9.0,11.0,12.0,10.0,10.0,12.0,12.0,11.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,12.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,9.0,10.0,155103
,8.0,8.0,6.0,,7.0,6.0,8.0,6.0,9.0,4.0,9.0,9.0,10.0,7.0,8.0,,,6.0,7.0,10.0,8.0,7.0,,,,9.0,,,,,,,,,,,9.0,10.0,10.0,11.0,11.0,7.0,9.0,420201
3.0,3.0,5.0,9.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,8.0,7.0,3.0,7.0,3.0,5.0,7.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,,3.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,,3.0,3.0,5.0,615203
4.0,8.0,8.0,6.0,7.0,6.0,7.0,9.0,8.0,8.0,4.0,8.0,9.0,7.0,,6.0,4.0,4.0,6.0,7.0,8.0,9.0,5.0,,7.0,5.0,9.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,4.0,5.0,8.0,8.0,9.0,6.0,4.0,4.0,7.0,6.0,152201
,,7.0,6.0,,,,,7.0,,,,,,4.0,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,5.0,6.0,416202
6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,4.0,6.0,5.0,7.0,4.0,7.0,8.0,,4.0,6.0,6.0,9.0,6.0,,6.0,,,,,7.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,5.0,6.0,5.0,7.0,25201
5.0,5.0,6.0,4.0,5.0,8.0,8.0,7.0,5.0,7.0,5.0,6.0,4.0,6.0,6.0,5.0,6.0,8.0,5.0,6.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,7.0,5.0,6.0,5.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,11.0,8.0,5.0,3.0,901501
5.0,5.0,7.0,7.0,,,,7.0,6.0,7.0,,,,6.0,7.0,4.0,3.0,,,3.0,,,4.0,,,,,,,,,,,,4.0,,,,,,3.0,4.0,6.0,4.0,542001
6.0,6.0,7.0,7.0,,,6.0,4.0,6.0,,7.0,8.0,8.0,7.0,8.0,8.0,7.0,,7.0,5.0,6.0,5.0,4.0,,,,,,,,4.0,,,,,,,,,,,,5.0,4.0,214102
5.0,6.0,6.0,6.0,8.0,8.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,6.0,9.0,9.0,8.0,7.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0,8.0,140204
8.0,4.0,7.0,8.0,8.0,5.0,10.0,5.0,8.0,8.0,10.0,10.0,7.0,10.0,10.0,4.0,6.0,5.0,10.0,10.0,7.0,9.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,5.0,7.0,6.0,5.0,,,5.0,,8.0,4.0,8.0,7.0,7.0,,901501
6.0,7.0,5.0,7.0,6.0,6.0,8.0,7.0,,6.0,8.0,7.0,6.0,5.0,,5.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,,,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,,6.0,5.0,,7.0,7.0,6.0,7.0,28302
10.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,6.0,9.0,8.0,10.0,4.0,4.0,4.0,5.0,5.0,8.0,8.0,6.0,4.0,4.0,,5.0,4.0,,,,,,,,,,,121101
4.0,4.0,6.0,7.0,,,,5.0,6.0,,,,6.0,8.0,,4.0,7.0,6.0,6.0,8.0,5.0,6.0,6.0,6.0,9.0,8.0,8.0,9.0,11.0,7.0,,5.0,8.0,7.0,8.0,8.0,4.0,9.0,10.0,6.0,10.0,6.0,6.0,6.0,872101
,5.0,4.0,,4.0,,,5.0,6.0,5.0,,,,,,4.0,,4.0,,,6.0,,5.0,6.0,6.0,,,,4.0,,4.0,3.0,,,,,,,9.0,8.0,5.0,6.0,6.0,7.0,622304
9.0,10.0,9.0,6.0,6.0,8.0,8.0,8.0,9.0,6.0,9.0,8.0,9.0,9.0,6.0,8.0,9.0,7.0,5.0,6.0,9.0,6.0,4.0,4.0,6.0,4.0,6.0,9.0,9.0,9.0,4.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,4.0,7.0,4.0,8.0,9.0,140305
8.0,9.0,10.0,4.0,6.0,5.0,6.0,4.0,5.0,4.0,6.0,7.0,6.0,7.0,8.0,,,5.0,9.0,3.0,6.0,3.0,4.0,7.0,6.0,6.0,5.0,9.0,8.0,7.0,9.0,9.0,7.0,9.0,7.0,6.0,9.0,5.0,5.0,5.0,7.0,6.0,8.0,5.0,415503
,4.0,4.0,4.0,,5.0,,8.0,7.0,8.0,5.0,6.0,,,,5.0,5.0,,,8.0,7.0,6.0,6.0,,4.0,,4.0,,8.0,7.0,,,6.0,6.0,,,,,,,7.0,8.0,7.0,6.0,561101
5.0,5.0,5.0,4.0,11.0,11.0,11.0,10.0,10.0,8.0,8.0,5.0,10.0,9.0,11.0,11.0,9.0,5.0,,4.0,9.0,9.0,7.0,7.0,9.0,8.0,11.0,11.0,11.0,12.0,11.0,9.0,11.0,11.0,4.0,9.0,7.0,9.0,10.0,8.0,,6.0,8.0,10.0,140701
4.0,4.0,4.0,,,4.0,4.0,,6.0,8.0,,,7.0,,,,,,,4.0,7.0,,4.0,,,,,4.0,4.0,8.0,,,3.0,8.0,10.0,9.0,,7.0,7.0,,,,6.0,,153106
8.0,9.0,7.0,7.0,,8.0,,6.0,5.0,5.0,6.0,,5.0,,7.0,7.0,6.0,,,9.0,6.0,6.0,,5.0,6.0,,,,5.0,,7.0,8.0,6.0,6.0,4.0,4.0,,,,,4.0,,5.0,5.0,303001
12.0,12.0,12.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,6.0,4.0,5.0,10.0,10.0,9.0,9.0,7.0,4.0,3.0,3.0,4.0,3.0,4.0,,,,6.0,3.0,,,,,5.0,,,5.0,5.0,5.0,6.0,6.0,221102
6.0,5.0,10.0,7.0,,7.0,,4.0,4.0,,,5.0,8.0,5.0,8.0,,,,5.0,8.0,7.0,6.0,5.0,8.0,7.0,5.0,,,5.0,,9.0,,,,,,,9.0,,,,,10.0,10.0,301201
10.0,10.0,8.0,7.0,,8.0,7.0,5.0,7.0,6.0,,7.0,5.0,7.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,,4.0,,,,4.0,4.0,,,,,7.0,5.0,411301
8.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,6.0,7.0,8.0,6.0,7.0,9.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,13401
3.0,3.0,5.0,5.0,3.0,3.0,,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,6.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,863401
8.0,7.0,8.0,5.0,4.0,4.0,,4.0,5.0,4.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,7.0,6.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,,,9.0,5.0,,,,,9.0,7.0,5.0,,,4.0,6.0,6.0,28202
,5.0,6.0,5.0,5.0,5.0,6.0,9.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,7.0,4.0,6.0,5.0,6.0,6.0,9.0,9.0,11.0,7.0,5.0,5.0,7.0,9.0,10.0,10.0,5.0,9.0,8.0,9.0,10.0,6.0,7.0,5.0,811201
7.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,5.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,6.0,5.0,6.0,8.0,5.0,,6.0,4.0,6.0,12.0,9.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,811901
6.0,7.0,10.0,8.0,8.0,,7.0,5.0,6.0,,,,,6.0,8.0,8.0,7.0,,,10.0,8.0,5.0,6.0,9.0,6.0,7.0,,,,,6.0,,,,,,,,6.0,,4.0,,,,231501
,3.0,6.0,7.0,,,9.0,3.0,3.0,,,7.0,4.0,7.0,5.0,7.0,4.0,4.0,7.0,9.0,4.0,7.0,6.0,3.0,6.0,3.0,7.0,,7.0,,,4.0,,7.0,,,,11.0,6.0,3.0,5.0,3.0,9.0,6.0,511401
,4.0,6.0,7.0,4.0,,,6.0,6.0,6.0,,4.0,5.0,5.0,5.0,5.0,,4.0,5.0,9.0,5.0,5.0,,,,,5.0,4.0,,,5.0,4.0,5.0,,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,562401
,,,,,,,,,,,,9.0,7.0,,,,,,7.0,,,,,,,,,7.0,,,,,9.0,8.0,8.0,,7.0,8.0,7.0,9.0,8.0,7.0,,901501
7.0,5.0,7.0,7.0,4.0,7.0,,5.0,7.0,,,6.0,4.0,6.0,8.0,4.0,7.0,5.0,7.0,10.0,9.0,6.0,5.0,6.0,5.0,7.0,,,,,7.0,4.0,7.0,,,,8.0,5.0,6.0,,5.0,5.0,7.0,5.0,14103
4.0,7.0,9.0,,7.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,7.0,7.0,4.0,7.0,5.0,4.0,5.0,7.0,7.0,7.0,7.0,4.0,7.0,5.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,10.0,10.0,5.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,811201
,4.0,6.0,4.0,,,,6.0,6.0,5.0,5.0,4.0,5.0,,,5.0,5.0,5.0,6.0,4.0,5.0,,8.0,,4.0,,,4.0,7.0,4.0,,6.0,5.0,5.0,5.0,5.0,,8.0,10.0,6.0,11.0,8.0,5.0,5.0,901301
8.0,8.0,8.0,7.0,5.0,8.0,6.0,6.0,5.0,7.0,8.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,7.0,9.0,10.0,10.0,8.0,10.0,8.0,,9.0,9.0,8.0,6.0,11.0,7.0,6.0,6.0,8.0,6.0,7.0,,,,,4.0,8.0,4.0,153204
8.0,10.0,10.0,7.0,7.0,10.0,9.0,9.0,10.0,9.0,6.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,5.0,7.0,7.0,7.0,8.0,8.0,5.0,5.0,5.0,9.0,9.0,6.0,9.0,7.0,11.0,11.0,10.0,9.0,7.0,9.0,7.0,301103
9.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,10.0,8.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,8.0,10.0,9.0,10.0,7.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,903101
3.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,7.0,6.0,9.0,4.0,5.0,5.0,4.0,10.0,4.0,4.0,4.0,705101
4.0,4.0,6.0,5.0,5.0,3.0,6.0,5.0,7.0,4.0,7.0,5.0,3.0,6.0,3.0,8.0,4.0,3.0,,,6.0,6.0,6.0,6.0,5.0,8.0,7.0,7.0,7.0,9.0,4.0,7.0,6.0,6.0,7.0,8.0,4.0,6.0,5.0,6.0,6.0,4.0,4.0,5.0,705901
8.0,10.0,8.0,11.0,4.0,5.0,,7.0,5.0,,5.0,8.0,6.0,,10.0,6.0,9.0,6.0,,7.0,,8.0,8.0,,,,,,,,5.0,,,,,,,,,,,,7.0,7.0,29202
9.0,11.0,11.0,9.0,11.0,10.0,9.0,11.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,9.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,9.0,11.0,9.0,9.0,10.0,10.0,151102
9.0,10.0,9.0,7.0,7.0,8.0,6.0,10.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,9.0,8.0,7.0,9.0,7.0,9.0,7.0,6.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,7.0,5.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,32401
5.0,7.0,7.0,7.0,5.0,6.0,,,5.0,,6.0,7.0,7.0,7.0,7.0,,8.0,9.0,8.0,10.0,7.0,,6.0,7.0,7.0,4.0,,,5.0,,6.0,,,,5.0,4.0,,4.0,,5.0,,,8.0,7.0,29202
7.0,7.0,10.0,8.0,7.0,8.0,8.0,7.0,6.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,6.0,8.0,8.0,5.0,7.0,6.0,9.0,6.0,8.0,8.0,5.0,,7.0,8.0,8.0,8.0,,9.0,8.0,7.0,6.0,6.0,7.0,5.0,140501
5.0,11.0,11.0,7.0,,9.0,11.0,10.0,11.0,8.0,9.0,11.0,11.0,11.0,8.0,11.0,9.0,8.0,11.0,10.0,11.0,10.0,12.0,5.0,,,11.0,,,,,,,7.0,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,11.0,414503
8.0,7.0,7.0,5.0,8.0,7.0,5.0,9.0,7.0,8.0,8.0,8.0,8.0,5.0,6.0,7.0,6.0,5.0,9.0,4.0,7.0,7.0,8.0,4.0,8.0,6.0,10.0,8.0,11.0,8.0,7.0,8.0,10.0,11.0,9.0,11.0,8.0,6.0,9.0,6.0,8.0,11.0,11.0,6.0,158501
7.0,8.0,6.0,8.0,7.0,4.0,4.0,5.0,6.0,9.0,,5.0,7.0,,5.0,4.0,,,5.0,10.0,9.0,7.0,4.0,,4.0,,,,,,5.0,5.0,4.0,5.0,,,,,5.0,7.0,7.0,8.0,7.0,6.0,522201
