,0,1,index,result,dbs1,result2,dbs2,result3,dbs3,result4,dbs4,result5,dbs5,result6,dbs6,result7,dbs7,result8,dbs8,result9,dbs9,result10,dbs10
15277,제 꿈은 의사입니다,"['꿈', '의사', '이다']",15296,0,0,-1,0,20,20,,,,,,,,,,,,,,
15278,그래서 다른 사람들에게도 많이 어떤 학교 어떤 길로 가야하는지 물어보기는 봤지만 제대로 모르는 것 같아서 의사가 되려면 어떤 학교 어떤 길로 가야하는지 궁금합니다,"['사람', '어떻다', '학교', '어떻다', '길', '가야', '하다', '물어보다', '보다', '제대로', '모르다', '의사', '되다', '어떻다', '학교', '어떻다', '길', '가야', '하다', '궁금하다']",15297,0,0,-1,0,45,45,,,,,,,,,,,,,,
15288,제가 남 돕는걸 좋아해서 부모님은 자원봉사자 아님 선생님을 되라고 하는데 저는 음악 쪽으로 직업을 가지고 싶은데 어떻해 해야 할까요,"['남', '돕다', '좋아하다', '부모님', '자원봉사자', '아니다', '선생님', '되다', '하다', '음악', '쪽', '직업', '가지', '싶다', '어떻다', '하다', '하다', '요']",15307,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,21,21,,,,
15295,지금 제 꿈이 작곡가이지만 이직업으로 사업을 성공할 수 있는지 잘 모르겠어요,"['지금', '꿈', '작곡가', '직업', '사업', '성공하다', '수', '자다', '모르다']",15314,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,40,40,,
15297,진짜로 꿈을 이루고 싶은지 잘 모르겠어요,"['진짜', '꿈', '이루다', '싶다', '자다', '모르다']",15316,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,40,40,,
15299,요즘 진로에 대해서 고민이 많이되요,"['요즘', '진로', '대해', '고민', '되다']",15318,0,0,-1,0,-1,0,0,0,-1,0,30,30,,,,,,,,
15304,그런데 둘다 제가 평소에도 정말 하고 싶던 것이여서 무슨 직업을 선택해야할지 잘 모르겠습니다,"['두다', '평소', '정말', '하다', '싶다', '직업', '선택', '하다', '하다', '자다', '모르다']",15323,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,12,12,,,,
15306,현재 저의 꿈은 소아청소년과의사입니다,"['현재', '꿈', '소아', '청소년', '의사', '이다']",15325,0,0,-1,0,20,20,,,,,,,,,,,,,,
15307,그러나 이번 커리어넷을 통해 제가 알고 있는 학과보다 더 많은 학과가 있다는 것을 알게되었습니다,"['커리어', '통해', '알', '학과', '더', '많다', '학과', '알', '되어다']",15326,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,22,22
15309,아직까지는 소아청소년과에 들어가고 싶지만 나중에 가고 싶은 학과가 바뀐다고 해서 중등 고등 공부에는 큰 지장이 없을까요,"['소아', '청소년', '들어가다', '싶다', '나중', '가다', '싶다', '학과', '바뀌다', '하다', '중등', '고등', '공부', '크다', '지장', '없다']",15328,0,0,-1,0,0,0,0,0,0,0,0,0,14,14,,,,,,
15310,그리고 제의 꿈을 학과를 정하지 않고 의사가 되고 싶다고해서 제가 목표를 이루는 데 큰 지장이 없는 것일까요,"['제의', '꿈', '학과', '정', '하다', '않다', '의사', '되다', '싶다', '고해', '목표', '이루다', '데', '크다', '지장', '없다', '이다', '요']",15329,0,0,-1,0,42,42,,,,,,,,,,,,,,
15314,저는 중학교 1학년 입니다,"['중학교', '학년', '이다']",15333,0,0,23,5,,,,,,,,,,,,,,,,
15315,저는 공부 쪽 또는 기술 쪽으로 가도 상관은 없는데 아직 확실한 직업은 없어서 고민이 됩니다,"['공부', '쪽', '기술', '쪽', '가도', '상관', '없다', '확실하다', '직업', '없다', '고민', '되다']",15334,0,0,-1,0,-1,0,0,0,-1,0,7,7,,,,,,,,
15321,어떻게해야할까요,"['어떻다', '하다', '하다', '요']",15340,0,0,7,4,,,,,,,,,,,,,,,,
15328,연기의 대한 재능은 없는거같은데 꼭해보고 싶어요,"['연기', '대한', '재능', '없다', '꼭', '해보다', '싶다']",15347,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,1,1,,
15331,안녕하세요,['안녕하다'],15350,1,1,,,,,,,,,,,,,,,,,,
15332,저는 이제 막 중학교를 입학한 중1입니다,"['이제', '막', '중학교', '입학', '중', '이다']",15351,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,18,18,,
15341,제가 원하는 직업을 모르겠어요,"['원하다', '직업', '모르다']",15360,0,0,-1,0,21,21,,,,,,,,,,,,,,
15342,저의 꿈이 뭐지 모르겠습니다,"['꿈', '뭐', '모르다']",15361,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,40,40,,
15343,어떻게 제가 원하는 직업을 어떻게 찾을 수 있을까요,"['어떻다', '원하다', '직업', '어떻다', '찾다', '수']",15362,0,0,-1,0,15,15,,,,,,,,,,,,,,
15344,안녕하세요 외국어 고등학교를 지망하면서 또한 외교관의 꿈을 키우고 있는 한 학생입니다,"['안녕하다', '외국어', '고등학교', '지망', '하다', '외교관', '꿈', '키우다', '하다', '학생', '이다']",15363,0,0,-1,0,-1,0,0,0,28,28,,,,,,,,,,
15348,고등학교 2학년인 학생입니다,"['고등학교', '학년', '학생', '이다']",15367,0,0,11,5,,,,,,,,,,,,,,,,
15359,현재 일본어과에 재학중인 고등학교 2학년 학생입니다,"['현재', '일본어', '재학', '고등학교', '학년', '학생', '이다']",15378,0,0,11,5,,,,,,,,,,,,,,,,
15365,저는 중학교 1학년입니다,"['중학교', '학년', '이다']",15384,0,0,23,5,,,,,,,,,,,,,,,,
15371,4학년때는 아 나도 예중 가고 싶다,"['학년', '나다', '중', '가다', '싶다']",15390,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,10,10,,
15385,중학생 1학년입니다,"['중학생', '학년', '이다']",15404,0,0,-1,0,1,1,,,,,,,,,,,,,,
15393,내가 무엇을 잘하는지 내가 무엇에 흥이가 있는지 나에게 알맞은 직업이 무엇인지 어떤 학과가 나에게 맞을지 알고 싶다,"['내', '하다', '내', '흥이', '알맞다', '직업', '어떻다', '학과', '맞다', '알', '싶다']",15412,0,0,-1,0,46,46,,,,,,,,,,,,,,
15394,나에대해서 한번 탐색을 해보고 싶고 나를 이해해보는 상담시간을 가졌으면 좋겠다,"['대해', '한번', '탐색', '해보다', '싶다', '나르다', '이해', '해보다', '상담시', '가지다', '좋다']",15413,0,0,-1,0,-1,0,0,0,-1,0,37,37,,,,,,,,
15397,이런생각이 들고 아직 어려서 대학이나 학과에 대해 모릅니다 선생님에 대해서 많이 알고싶고 선생님이 되려면 어떤 대학이나 학과를 가는것이 좋을지 알려주세요 ,"['생각', '들다', '어리다', '대학', '학과', '대해', '모르다', '선생님', '대해', '알다', '선생님', '되다', '어떻다', '대학', '학과', '가다', '좋다', '알다']",15416,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,41,41,,
15398,저는 컴퓨터 프로그래머가 꿈인 학생입니다,"['컴퓨터', '프로그래머', '꿈', '학생', '이다']",15417,0,0,-1,0,20,20,,,,,,,,,,,,,,
15403,메이크업은 제가 유튜브에 나오는 뷰티 크리에이터 분들처럼 영상을 찍는것도 아니고 부모님이 화장품을 사시는걸 그렇게 좋아하시는 않으시는데 화장하는걸 좋아해서 자주 화장을 해요,"['메이크업', '유튜브', '나오다', '뷰티', '크리에이터', '분', '영상', '찍다', '아니다', '부모님', '화장품', '사다', '좋아하다', '않다', '화장', '는걸', '좋아하다', '자주', '화장', '해']",15422,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,18,18
15412,안녕하세요,['안녕하다'],15431,1,1,,,,,,,,,,,,,,,,,,
15417,제 꿈이 수의사인데 학교는 어떤학교를 가야하는지 학과는 어떤 학과에 가야하는지 궁금합니다,"['꿈', '수의사', '학교', '학교', '가야', '하다', '학과', '어떻다', '학과', '가야', '하다', '궁금하다']",15436,0,0,-1,0,-1,0,0,0,6,6,,,,,,,,,,
15425,하고 싶은 일이 뭔지 잘 모르겠습니다,"['하다', '싶다', '자다', '모르다']",15444,0,0,-1,0,0,0,0,0,0,0,0,0,20,20,,,,,,
15427,적성 유형 검사에서는 기업형으로 변호사 스포츠해설가 국회의원 같은 것들이 나왔는데 저는 이과쪽 학교에 가고 싶습니다,"['적성', '유형', '검사', '기업', '변호사', '스포츠', '해설', '국회의원', '나오다', '이과', '쪽', '학교', '가다', '싶다']",15446,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,8,8,,
15428,이것 저것 해보고 싶고 헷갈립니다,"['해보다', '싶다', '헷갈리다']",15447,0,0,-1,0,-1,0,0,0,-1,0,37,37,,,,,,,,
15429,그냥 여러 체험을 해보면서 맞는 걸 점차 찾아보면 되는걸까요,"['그냥', '여러', '체험', '해보다', '맞다', '걸', '점차', '찾아보다', '되다', '끄다']",15448,0,0,-1,0,17,17,,,,,,,,,,,,,,
15432,옛날에는 경찰 군인과 같은 우리나라를 지키는 그런 직업을 선호했지만 지금은 사람들에게 웃음을 주는 직업에 관심이 많아져서 저희 엄마는 경찰이 되라고 했지만 제가 하고 싶은 직업을 하라고는 하지만 경찰이 되면 좋겠다고 해요,"['옛날', '경찰', '군인', '우리나라', '지키다', '그렇다', '직업', '선호', '하다', '지금', '사람', '웃음', '주다', '직업', '관심', '많아지다', '엄마', '경찰', '되다', '하다', '하다', '싶다', '직업', '경찰', '되다', '좋다', '해']",15451,0,0,-1,0,0,0,0,0,0,0,0,0,24,24,,,,,,
15440,그리고 이 직업에 대한 조언도 많이 남겨주셨으면 좋겠습니다,"['직업', '대한', '조언', '남기다', '좋다']",15459,0,0,-1,0,-1,0,0,0,-1,0,6,6,,,,,,,,
15442,꿈이 수의사인 중학생입니다,"['꿈', '수의사', '중학생', '이다']",15461,0,0,-1,0,20,20,,,,,,,,,,,,,,
15444,저는 동물들에 대한 지식을 더욱 더 키우고 싶지만 방법을 잘모르겠습니다,"['동물', '대한', '지식', '더욱', '더', '키우다', '싶다', '방법', '모르다']",15463,0,0,-1,0,17,17,,,,,,,,,,,,,,
15448,진로가 고민되요,"['진로', '고민', '되다']",15467,0,0,-1,0,-1,0,0,0,-1,0,30,30,,,,,,,,
15449,지금은 꿈이 없어서 무슨 일이 나한테 맞을지 모르니까 좀 찾아주세요,"['지금', '꿈', '없다', '맞다', '모르다', '찾다']",15468,0,0,-1,0,-1,0,12,12,,,,,,,,,,,,
15453,누구보다 앵무새에 대해 잘알고 좋아합니다자랑서론 그래서 제가 앵무새 사업조류원앵무새 카페 쪽으로 가고 싶은데 앞이 막막합니다,"['앵무새', '대해', '잘알다', '좋아하다', '자랑', '서론', '앵무새', '사업', '조류', '앵무새', '카페', '쪽', '가다', '싶다', '앞', '막막하다']",15472,0,0,-1,0,-1,0,0,0,-1,0,13,13,,,,,,,,
15464,그래서 저의 직업을 선정하고 싶어요,"['직업', '선정', '싶다']",15483,0,0,-1,0,-1,0,0,0,-1,0,4,4,,,,,,,,
15468,저는 이제 막 중학생이 된 여학생입니다,"['이제', '막', '중학생', '되다', '여학생', '이다']",15487,0,0,-1,0,2,2,,,,,,,,,,,,,,
15474,하루라도 빨리 저와 맞는 직업과 학과를 찾고 싶어요,"['하루', '맞다', '직업', '학과', '찾다', '싶다']",15493,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,8,8,,
15477,어떤 학과로 들어가야 컴퓨터 쪽으로 직업을 가질 수 있을까요,"['어떻다', '학과', '들어가다', '컴퓨터', '쪽', '직업', '가지다', '수']",15496,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,30,30,,
15481,벌써부터 진로를 선택하는것은 개인적으로 어렵고  앞으로 시간이 많다고 생각하는데 다른 친구들은 벌써부터 자신의 꿈을 가지고 그 콕표를 향해 달려나가는 모습을 보니 부럽다는 생각도 들어서 나도 꿈을 가지고 그 목표를 이루기 위해 노력하고 싶다는 생각이 들었습니다 ,"['벌써', '진로', '선택', '하다', '개인', '어렵다', '앞', '많다', '생각', '하다', '친구', '벌써', '꿈', '가지', '콕표', '향', '하다', '달다', '나가다', '모습', '보다', '부럽다', '생각', '들어서다', '나다', '꿈', '가지', '목표', '이루다', '위해', '노력', '싶다', '생각', '들다']",15500,0,0,-1,0,0,0,0,0,0,0,0,0,23,23,,,,,,
15503,그런데 제가 최근에 적성검사도 그렇고 좋아하는게 체육이라 사회체육학과에 가고싶게 되었습니다,"['최근', '적성검사', '그렇다', '좋아하다', '체육', '사회', '체육', '학과', '가다', '되어다']",15522,0,0,-1,0,-1,0,0,0,-1,0,13,13,,,,,,,,
15506,안녕하세요,['안녕하다'],15525,1,1,,,,,,,,,,,,,,,,,,
15508,현재 상업계열의 특성화고에 재학중인 학생입니다,"['현재', '상업', '계열', '특성화고', '재학', '학생', '이다']",15527,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,4,4
15517,그래서 고민이 더 많습니다,"['고민', '더', '많다']",15536,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,4,4,,
15520,이렇게 새로운 길을 걸어가도 될까요,"['새롭다', '길', '걸어가다', '되다', '요']",15539,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,23,23,,
15536,진로를 못 정했어요,"['진로', '못', '정', '하다']",15555,0,0,-1,0,28,28,,,,,,,,,,,,,,
15542,안녕하세요,['안녕하다'],15561,1,1,,,,,,,,,,,,,,,,,,
15543,저는 유채윤입니다,"['유', '채윤', '이다']",15562,0,0,-1,0,50,50,,,,,,,,,,,,,,
15545,저의 꿈은 게임개발자이고 만화가입니다,"['꿈', '게임개발자', '만화가', '이다']",15564,0,0,-1,0,20,20,,,,,,,,,,,,,,
15546,저는 스토리를 중요시 여기고 스토리를 짜는 것을 재미있어 합니다,"['스토리', '중요시', '스토리', '짜다', '재미있다', '하다']",15565,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,24,24,,
15557,그런데 많이 고민이 되더라고요,"['고민', '되다']",15576,0,0,6,3,,,,,,,,,,,,,,,,
15559,부족하니까 노력을 해야 한다는 생각을 하고 그림을 그리면서 즐거움을 느끼지만 내가 정말 미래 직업을 이쪽으로 정해서 살아갈 수 있을까 하는 생각이 자꾸 들어요,"['부족하다', '노력', '하다', '생각', '하다', '그림', '그리다', '즐거움', '느끼다', '내', '정말', '미래', '직업', '쪽', '정해', '살아가다', '수', '하다', '생각', '자꾸', '들다']",15578,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,18,18,,,,
15565,그렇다고 다른 진로를 찾아보자니 지금동안 그림만 계속 해 와서 다른 건 상상도 못하겠습니다,"['진로', '찾아보다', '지금동', '안', '그림', '계속', '해', '오다', '건', '상상', '하다']",15584,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,
15567,제가 어쩌고 싶은지 모르겠어요,"['어쩌', '싶다', '모르다']",15586,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,45,45,,
15569,나한테 맞는 직업이 뭐가있을까여,"['맞다', '직업', '뭐']",15588,0,0,-1,0,13,13,,,,,,,,,,,,,,
15577,안녕하세요,['안녕하다'],15596,1,1,,,,,,,,,,,,,,,,,,
15578,저는 직업군인을 희망하고 있는 학생입니다,"['직업', '군인', '희망', '학생', '이다']",15597,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,42,42,,
15582,저는요 공부는 수학이가장좋아요,"['요', '공부', '수학', '가장', '좋다']",15601,0,0,-1,0,-1,0,16,16,,,,,,,,,,,,
15584,안녕하세요,['안녕하다'],15603,1,1,,,,,,,,,,,,,,,,,,
15589,알려주세요,['알다'],15608,0,0,2,2,,,,,,,,,,,,,,,,
15594,안녕하세요,['안녕하다'],15613,1,1,,,,,,,,,,,,,,,,,,
15595,만화가 또는 건축가가 되고싶은 예비 중학생입니다,"['만화가', '건축가', '되다', '예비', '중학생', '이다']",15614,0,0,-1,0,2,2,,,,,,,,,,,,,,
15606,내 적성에 맞는 것이 무엇인지도 모르겠어서 하고 싶은 직업을 못 고르겠다,"['내', '적성', '맞다', '인지도', '모르다', '하다', '싶다', '직업', '못', '고르다']",15625,0,0,-1,0,51,51,,,,,,,,,,,,,,
15607,꿈은 찾았는데 직업이 많아서 꿈 찾기가 애매합니다 ,"['꿈', '찾다', '직업', '많다', '꿈', '찾기', '애매하다']",15626,0,0,-1,0,-1,0,43,43,,,,,,,,,,,,
15608,이제 중1인 학생입니다,"['이제', '중', '인', '학생', '이다']",15627,0,0,-1,0,1,1,,,,,,,,,,,,,,
15619,요즘 중학교에 들어가서 부터 성적이 확 떨어졌다는게 느껴져요,"['요즘', '중학교', '들어가다', '성적', '확', '떨어지다', '느껴지다']",15638,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,13,13
15631,안녕하세요,['안녕하다'],15650,1,1,,,,,,,,,,,,,,,,,,
15649,안녕하세요,['안녕하다'],15668,1,1,,,,,,,,,,,,,,,,,,
15650,올해 17살인 고등학교 1학년 학생입니다,"['올해', '살인', '고등학교', '학년', '학생', '이다']",15669,0,0,-1,0,1,1,,,,,,,,,,,,,,
15651,저의 꿈은 판사입니다,"['꿈', '판사', '이다']",15670,0,0,-1,0,20,20,,,,,,,,,,,,,,
15654,사실 저는 사교육을 태권도 미술 피아노를 빼고 이때까지 받은적이 한번도 없었지만 지금까지 전교 10위권 내에서 계속 우수한 성적을 받아왔습니다,"['사실', '사교육', '태권도', '미술', '피아노', '빼다', '받다', '적', '한번', '없다', '지금', '전교', '위', '내', '계속', '우수하다', '성적', '받다', '오다']",15673,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,7,7,,
15661,도와주세요,['도와주다'],15680,12,4,,,,,,,,,,,,,,,,,,
15673,제가 궁금 한것은 1제가 공고 기계과를 다니는데 코딩을 해도 될지 2만약 된다면 코딩이 좋은 일자리인지 3연봉은 어느정도 되는지 4독학으로도 되는지 궁금합니다,"['궁금', '공고', '기계', '다니다', '코딩', '해도', '되다', '되다', '코딩', '좋다', '일자리', '연봉', '정도', '되다', '독학', '되다', '궁금하다']",15692,0,0,-1,0,-1,0,13,13,,,,,,,,,,,,
15681,어떻게 해야할까요,"['어떻다', '하다', '하다', '요']",15700,0,0,7,4,,,,,,,,,,,,,,,,
15690,저에게 맞는 직업 학과를 알고 싶어요,"['맞다', '직업', '학과', '알', '싶다']",15709,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,8,8,,
15695,안녕하세요,['안녕하다'],15714,1,1,,,,,,,,,,,,,,,,,,
15705,그래서 장래희망을 잘 모르겠다,"['장래희망', '자다', '모르다']",15724,0,0,-1,0,24,24,,,,,,,,,,,,,,
15712,제가 한달 전까지만 해도 장레희망이 없었는데 지금은 판사검사의사동물사육사소방관경찰공무원등등 장래희망이 많아서 한가지로 목표를 잡아서하면 갑자기 저것도 하고싶어지고 저걸로 하면 또 이게 좋아지고 뭐를 해야될지 모르겠어요,"['달', '전', '해도', '장레', '희망이', '없다', '지금', '판사', '검사', '의사', '동물', '사육사', '소방관', '경찰', '공무원', '장래희망', '많다', '한가지', '목표', '잡다', '서하면', '갑자기', '하다', '저걸', '하다', '좋아지다', '뭐', '하다', '되다', '모르다']",15731,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,25,25,,,,
15715,안녕하세요,['안녕하다'],15734,1,1,,,,,,,,,,,,,,,,,,
15717,저의 꿈은 의사입니다,"['꿈', '의사', '이다']",15736,0,0,-1,0,20,20,,,,,,,,,,,,,,
15720,하고싶은 직업이 많고 현재까지는 패션에 관한 의류 옷이나 가방 신발등 이런 것들을 중심으로 대기업ceo가 하고싶다,"['하다', '직업', '많다', '현재', '패션', '관', '의류', '옷', '가방', '발등', '이렇다', '중심', '대기업', '가다', '하다']",15739,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,20,20,,,,
15725,안녕하세여,['안녕하다'],15744,1,1,,,,,,,,,,,,,,,,,,
15726,저는 작곡가가 장래희망인 중학교 1학년 학생입니다 ,"['작곡가', '장래희망', '중학교', '학년', '학생', '이다']",15745,0,0,-1,0,1,1,,,,,,,,,,,,,,
15728,저한테 맞는 직업이 무엇인지 잘 모르겠어요,"['맞다', '직업', '자다', '모르다']",15747,0,0,-1,0,21,21,,,,,,,,,,,,,,
15729,안녕하세요,['안녕하다'],15748,1,1,,,,,,,,,,,,,,,,,,
15730,장래희망이 번역가인 학생입니다,"['장래희망', '번역가', '학생', '이다']",15749,0,0,-1,0,1,1,,,,,,,,,,,,,,
15734,안녕하세요 중 1학생입니다,"['안녕하다', '중', '학생', '이다']",15753,0,0,-1,0,1,1,,,,,,,,,,,,,,
15736,알려주실 수 있으신가요,"['알다', '수', '가요']",15755,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,27,27
15737,저의 장래희망은 체육교사에요 체육을 많이 좋아하고 잘하기도 하기 떄문에 체육쪽으로 진로를 정하고 싶었어요,"['장래희망', '체육교사', '체육', '좋아하다', '하다', '하다', '떄문', '체육', '쪽', '진로', '정', '싶다']",15756,0,0,-1,0,0,0,0,0,0,0,0,0,29,29,,,,,,
15742,근데 문제는 내가 직업과 학과에 대해 아는게 없어 꿈이없다,"['문제', '내', '직업', '학과', '대해', '알다', '없다', '꿈', '없다']",15761,0,0,-1,0,-1,0,0,0,-1,0,4,4,,,,,,,,
15745,안녕하세요,['안녕하다'],15764,1,1,,,,,,,,,,,,,,,,,,
15747,로봇과학자 같은 직업을 가지고 싶은데 어떤 학과를 들어가야하고 어떤 과목 위주로 더 열심히 공부해야할까요,"['로봇', '과학자', '직업', '가지', '싶다', '어떻다', '학과', '들어가다', '어떻다', '과목', '위주', '더', '공부', '하다', '하다', '요']",15766,0,0,-1,0,0,0,0,0,0,0,0,0,3,3,,,,,,
15748,안녕하세요 올해 중2가 된 학생입니다,"['안녕하다', '올해', '중', '가다', '되다', '학생', '이다']",15767,0,0,-1,0,5,5,,,,,,,,,,,,,,
15758,안녕하세요,['안녕하다'],15777,1,1,,,,,,,,,,,,,,,,,,
15759,공부닉네임입니다,"['공부', '닉네임', '이다']",15778,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,2,2
15761,그냥 새로운걸 배우면 신나고 좋습니다,"['그냥', '새롭다', '걸', '배우다', '신나다', '좋다']",15780,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,5,5,,
15764,라는 마음이 들지 않아요,"['마음', '들다', '않다']",15783,0,0,-1,0,-1,0,0,0,-1,0,42,42,,,,,,,,
15768,제가 얼마나 잘 하고 있는지도 모르겠어요,"['자다', '하다', '모르다']",15787,0,0,1,1,,,,,,,,,,,,,,,,
15769,꿈을 빨리 찾고 싶어요,"['꿈', '찾다', '싶다']",15788,0,0,-1,0,-1,0,12,12,,,,,,,,,,,,
15770,문의 유형이랑은 관련이 있는지는 모르겠지만 한가지 더 질문하고 싶은게 있어요,"['문의', '유형', '관련', '모르다', '한가지', '더', '질문', '싶다']",15789,0,0,-1,0,-1,0,0,0,-1,0,15,15,,,,,,,,
15771,지금은 열심히 공부든 뭐든 하고 있는데 장기전이니까 중간에 가서 지쳐서 포기하거나 옛날의 열정보다 식을 수 있다고 조심하라고 끝까지 그런 열정으로 나아가라고 주변에서 말을 하시더라고요,"['지금', '공부', '뭐', '하다', '장기전', '중간', '가다', '지치다', '포기', '거나', '옛날', '열정', '식', '수', '조심', '끝', '그렇다', '열정', '나아가다', '주변', '말', '하다']",15790,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,17,17,,,,
15774,저는 프로그래머가 꿈인 중학생 2학년 입니다,"['프로그래머', '꿈', '중학생', '학년', '이다']",15793,0,0,-1,0,-1,0,14,14,,,,,,,,,,,,
15778,과연 어떤 학과에 가야지,"['어떻다', '학과', '가야']",15797,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,33,33
15786,안녕하세요,['안녕하다'],15805,1,1,,,,,,,,,,,,,,,,,,
15793,평소 관심있는 직업은 여우각시별이라는 드라마를 본 이후로 항공지상직근무요원에 관심이 갑니다,"['평소', '관심', '직업', '여우', '시별', '드라마', '보다', '이후', '항공', '지상', '직', '근무', '요원', '관심', '가다']",15812,0,0,-1,0,-1,0,0,0,-1,0,4,4,,,,,,,,
15797,고민광고PD작곡가 라는 꿈이 있는데 미래에 그 직업이 사라질까봐 걱정 고민2내 꿈에 관련된 학교 활동이 없음,"['고민', '광고', '작곡가', '꿈', '미래', '직업', '사라지다', '걱정', '고민', '내', '꿈', '관련', '되다', '학교', '활동', '없다']",15816,0,0,-1,0,-1,0,0,0,-1,0,20,20,,,,,,,,
15798,안녕하세요,['안녕하다'],15817,1,1,,,,,,,,,,,,,,,,,,
15799,저는 꿈이 없어요,"['꿈', '없다']",15818,0,0,39,14,,,,,,,,,,,,,,,,
15800,저는 무엇을 해야 할까요,"['하다', '하다', '요']",15819,0,0,18,8,,,,,,,,,,,,,,,,
15804,안녕하세요,['안녕하다'],15823,1,1,,,,,,,,,,,,,,,,,,
15805,저는 중2 학생입니다,"['중', '학생', '이다']",15824,0,0,14,5,,,,,,,,,,,,,,,,
15807,어떻게 해야 하나요,"['어떻다', '하다', '하나요']",15826,0,0,36,4,,,,,,,,,,,,,,,,
15810,안녕하세요,['안녕하다'],15829,1,1,,,,,,,,,,,,,,,,,,
15817,친구들과 노는것을 좋아하고 게임이나 운동등을 좋아합니다,"['친구', '놓다', '좋아하다', '게임', '운동', '좋아하다']",15836,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,26,26
15818,예전에는 태권도 선수 생활도 해보고 꿈을 찾아봤지만 꿈을 찾기가 쉽지않습니다,"['예전', '태권도', '선수', '생활', '해보다', '꿈', '찾아보다', '꿈', '찾기', '쉬다', '않다']",15837,0,0,-1,0,40,40,,,,,,,,,,,,,,
15821,안녕하세요,['안녕하다'],15840,1,1,,,,,,,,,,,,,,,,,,
15822,김기태 입니다,"['김기태', '이다']",15841,0,0,19,9,,,,,,,,,,,,,,,,
15836,주변만 몇 번 둘러봐도 저처럼 진로를 정하지 못한 아이들이 정말 많아서 이런 질문들은 정말 많이 들어보셨을 것 같아요 ,"['주변', '번', '둘러보다', '진로', '정', '하다', '못', '정말', '많다', '이렇다', '질문', '정말', '들다', '보다']",15855,0,0,-1,0,0,0,0,0,2,2,,,,,,,,,,
15849,안녕하세요,['안녕하다'],15869,1,1,,,,,,,,,,,,,,,,,,
15854,또 관련 학교나 확과는 어디가 있는지 그런 것을 알고싶어요,"['관련', '학교', '확', '어디가', '그렇다', '알다']",15874,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,41,41,,
15856,안녕하세요,['안녕하다'],15876,1,1,,,,,,,,,,,,,,,,,,
15858,라는게 없어요,"['게', '없다']",15878,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,1,1,,
15859,딱히 좋아하는것도 없고 취미도 없어요,"['딱하다', '좋아하다', '없다', '취미', '없다']",15879,0,0,-1,0,-1,0,28,28,,,,,,,,,,,,
15860,정말 제가 좋아하는것은 침대에 누워 뒹굴거리는 것 밖에 없어요,"['정말', '좋아하다', '침대', '눕다', '거리', '없다']",15880,0,0,-1,0,-1,0,28,28,,,,,,,,,,,,
15862,어떡하나요,['어떡하다'],15882,17,7,,,,,,,,,,,,,,,,,,
